Rank,Event,Swim Time,Name,Gender,Team,Swimmer Country,Meet,Swim Date
19,100 BK LCM,1:00.86,Rica Reinisch,Female,Germany,Germany,1980 Olympic Games,07/19/1980
20,100 BK LCM,1:01.50,Rica Reinisch,Female,Germany,Germany,,07/22/1980
21,100 BK LCM,1:01.51,Ulrike Richter,Female,Germany,Germany,,06/05/1976
21,100 BK LCM,1:01.51,Rica Reinisch,Female,Germany,Germany,,07/20/1980
23,100 BK LCM,1:01.62,Kornelia Ender,Female,Germany,Germany,,06/03/1976
24,100 BK LCM,1:02.60,Ulrike Richter,Female,Germany,Germany,,03/14/1976
25,100 BK LCM,1:02.98,Ulrike Richter,Female,Germany,Germany,,09/01/1974
26,100 BK LCM,1:03.08,Ulrike Richter,Female,Germany,Germany,,08/24/1974
27,100 BK LCM,1:03.30,Ulrike Richter,Female,Germany,Germany,,08/23/1974
28,100 BK LCM,1:04.09,Ulrike Richter,Female,Germany,Germany,,08/22/1974
29,100 BK LCM,1:04.43,Ulrike Richter,Female,Germany,Germany,,07/08/1974
30,100 BK LCM,1:04.78,Wendy Cook,Female,Canada,Canada,,01/31/1974
31,100 BK LCM,1:04.99,Ulrike Richter,Female,Germany,Germany,,09/04/1973
32,100 BK LCM,1:05.39,Ulrike Richter,Female,Germany,Germany,,08/18/1973
33,100 BK LCM,1:05.60,Karen Muir,Female,South Africa,South Africa,,07/06/1969
34,100 BK LCM,1:06.20,Kaye Greff,Female,United States,,1968 Olympic Games,10/12/1968
35,100 BK LCM,1:06.40,Karen Muir,Female,South Africa,South Africa,,04/06/1968
36,100 BK LCM,1:06.70,Karen Muir,Female,South Africa,South Africa,,01/30/1968
37,100 BK LCM,1:07.10,Elaine Tanner,Female,Canada,Canada,,07/30/1967
38,100 BK LCM,1:07.30,Elaine Tanner,Female,Canada,Canada,,07/27/1967
39,100 BK LCM,1:07.40,Ann Fairlie,Female,South Africa,South Africa,,07/23/1966
40,100 BK LCM,1:07.70,Cathy Ferguson,Female,United States,,1964 Olympic Games,10/10/1964
40,100 BK LCM,1:07.70,Cathy Ferguson,Female,United States,,,10/14/1964
1,200 BK LCM,2:03.14,Kaylee McKeown,Female,Australia,Australia,NSW State Open Championships 2023,03/10/2023
2,200 BK LCM,2:03.35,Regan Smith,Female,United States,United States,2019 World Champs,07/26/2019
3,200 BK LCM,2:04.06,Missy Franklin,Female,United States,United States,2012 Olympic Games,08/03/2012
4,200 BK LCM,2:04.81,Kirsty Coventry,Female,Zimbabwe,Zimbabwe,2009 World Champs,08/01/2009
5,200 BK LCM,2:05.24,Kirsty Coventry,Female,Zimbabwe,Zimbabwe,2008 Olympic Games,08/16/2008
6,200 BK LCM,2:06.09,Margaret Hoelzer,Female,United States,United States,2008 Olympic Trials,06/29/2008
7,200 BK LCM,2:06.39,Kirsty Coventry,Female,Zimbabwe,Zimbabwe,2008 Pro Swim - Missouri,02/15/2008
8,200 BK LCM,2:06.62,Krisztina Egerszegi,Female,Hungary,Hungary,1991 US European Championships,08/25/1991
9,200 BK LCM,2:08.60,Betsy Mitchell,Female,United States,,,06/27/1986
10,200 BK LCM,2:09.91,Cornelia Sirch,Female,Germany,Germany,1982 World Champs,07/29/1982
11,200 BK LCM,2:11.77,Rica Reinisch,Female,Germany,Germany,1980 Olympic Games,07/19/1980
12,200 BK LCM,2:11.93,Linda Wittwer,Female,United States,,1978 World Champs,08/20/1978
